filename,basename,variable,scenario,gcm,model,timestep,spatial_res,biascorrection,calendar,units,variable_name_long,variable_units,daily_variable_name_long
hurs_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,hurs_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,hurs,historical,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
hurs_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,hurs_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,hurs,ssp126,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
hurs_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,hurs_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,hurs,ssp245,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
hurs_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,hurs_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,hurs,ssp370,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
hurs_ssp585_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,hurs_ssp585_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,hurs,ssp585,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
PEDsrad_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,PEDsrad_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,PEDsrad,historical,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PEDsrad_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,PEDsrad_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,PEDsrad,ssp126,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PEDsrad_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,PEDsrad_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,PEDsrad,ssp245,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PEDsrad_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,PEDsrad_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,PEDsrad,ssp370,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PEDsrad_ssp585_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,PEDsrad_ssp585_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,PEDsrad,ssp585,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PETsrad_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,PETsrad_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,PETsrad,historical,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
